#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;S400;S1400;S2000;DIST;DIST_DM;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[mJy];[mJy];[mJy];[kpc];[kpc];;;TYPE
1;J0002+6216;NAN;NAN;NAN;55806;117.327;-0.074;0.742375;62.26927778;0.115364;5.97E-15;218.6;NAN;NAN;NAN;0.02;NAN;6.357;6.357;GRS:4FGL_J0002.8+6217[fermi21],XRS:1XSPS;FermiBlind;HE[wcp+18]
2;J0006+1834;NAN;NAN;NAN;49079.5;108.172;-42.985;1.52;18.58305556;0.693748;2.1E-15;11.41;82;195;0.2;NAN;NAN;0.86;0.86;NAN;ar4;NAN
3;J0007+7303;NAN;NAN;NAN;54952;119.66;10.463;1.75708333;73.05205556;0.315873;3.6E-13;NAN;NAN;NAN;NAN;NAN;NAN;1.4;NAN;GRS:4FGL_J0007.0+7303[fermi21],XRS:RX_J0;FermiBlind;NRAD
4;J0011+08;NAN;NAN;NAN;57022;106.228;-53.407;2.89166667;8.16666667;2.55287;NAN;24.9;28;NAN;NAN;NAN;NAN;5.399;5.399;NAN;AO327;NAN
5;J0014+4746;19.3;-19.7;NAN;49664;116.497;-14.631;3.57395833;47.77594444;1.240699;5.64E-16;30.41;88.7;142.5;14;3;NAN;1.776;1.776;NAN;gb1,gb2,gb3,lotaas;NAN
6;J0021-0909;NAN;NAN;NAN;58388;100.291;-70.726;5.46445833;-9.16630556;2.314131;1.04E-15;25.2;23.8;42.7;NAN;0.13;NAN;25;25;NAN;fast_uwb;NAN
7;J0023+0923;-12.435;-6.16;0.55;56845;111.383;-52.849;5.82032291;9.38996121;0.00305;1.14E-20;14.33;NAN;NAN;2.9;0.37;NAN;1.818;1.248;GRS:4FGL_J0023.4+0920[fermi21],OPT:[bvr+;FermiAssoc;HE
8;J0024-7204aa;NAN;NAN;NAN;57022;305.895;-44.889;6.023625;-72.08128333;0.00184;NAN;24.97;NAN;NAN;NAN;NAN;NAN;2.688;2.688;GC:47Tuc,XRS:[bhc+17];misc;NAN
9;J0024-7204ab;4.2;-2.9;NAN;51600;305.891;-44.891;6.03400625;-72.07988944;0.003705;9.82E-21;24.37;NAN;NAN;NAN;NAN;NAN;2.54;2.54;GC:47Tuc,XRS:[bhc+17];misc;NAN
10;J0024-7204ac;NAN;NAN;NAN;NAN;305.898;-44.902;6.023625;-72.06805556;0.00274;NAN;24.46;NAN;NAN;NAN;0.15;NAN;4.69;2.562;GC:47Tuc;meerkat_trapum;NAN
11;J0024-7204ad;NAN;NAN;NAN;NAN;305.898;-44.902;6.023625;-72.06805556;0.00374;NAN;24.41;NAN;NAN;NAN;0.08;NAN;4.69;2.551;GC:47Tuc;meerkat_trapum;NAN
12;J0024-7204C;5.2;-3.1;NAN;51600;305.923;-44.892;5.95981083;-72.075418;0.005757;-4.99E-20;24.6;0.664;1.18;1.53;0.52;0.23;4.69;2.594;GC:47Tuc,XRS:[bgh+06];pksgc;NAN
13;J0024-7204D;4.24;-2.24;NAN;51600;305.881;-44.893;6.05783717;-72.07884789;0.005358;-3.42E-21;24.74;0.303;0.476;0.95;0.35;0.2;4.69;2.631;GC:47Tuc,XRS:[bgh+06];pksgc;NAN
14;J0024-7204E;6.15;-2.35;NAN;51600;305.883;-44.883;6.046272;-72.08893033;0.003536;9.85E-20;24.24;0.9;NAN;NAN;NAN;NAN;4.69;2.509;GC:47Tuc,XRS:[bgh+06];pksgc;NAN
